cmor_var;input_vars;calculation;units;dimensions;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;filename;long_name;standard_name
uo;u;;m/sec;time st_ocean yu_ocean xu_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;i-current;sea_water_x_velocity
vo;v;;m/sec;time st_ocean yu_ocean xu_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;j-current;sea_water_y_velocity
wmo;tz_trans;;kg/s;time sw_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;T-cell k-mass transport;upward_ocean_mass_transport
umo;tx_trans;;kg/s;time st_ocean yt_ocean xu_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;T-cell i-mass transport;ocean_x_mass_transport
vmo;ty_trans;;kg/s;time st_ocean yu_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;T-cell j-mass transport;ocean_y_mass_transport
prra;lprec;;(kg/m^3)*(m/sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;liquid precip (including ice melt/form) into ocean (>0 enters ocean);rainfall_flux
prsn;fprec;;(kg/m^3)*(m/sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;snow falling onto ocean (>0 enters ocean);snowfall_flux
evs;evap;;(kg/m^3)*(m/sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;mass flux from evaporation/condensation (>0 enters ocean);water_evaporation_flux
friver;runoff;;(kg/m^3)*(m/sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;mass flux of liquid river runoff entering ocean;water_flux_into_sea_water_from_rivers
ficeberg2d;ice_calving;;(kg/m^3)*(m/sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;mass flux of land ice calving into ocean;water_flux_into_sea_water_from_icebergs
wfo;pme_river;;(kg/m^3)*(m/sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;mass flux of precip-evap+river via sbc (liquid, frozen, evaporation);water_flux_into_sea_water
sfdsi;sfc_salt_flux_ice;;kg/(m^2*sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;sfc_salt_flux_ice;downward_sea_ice_basal_salt_flux
sfriver;sfc_salt_flux_runoff;;kg/(m^2*sec);time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;sfc_salt_flux_runoff;salt_flux_into_sea_water_from_rivers
hfrainds;sfc_hflux_from_water_prec;;Watts/m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;heat flux from precip transfer of water across ocean surface;temperature_flux_due_to_rainfall_expressed_as_heat_flux_into_sea_water
hfevapds;sfc_hflux_from_water_evap;;Watts/m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;heat flux from evap transfer of water across ocean surface;temperature_flux_due_to_evaporation_expressed_as_heat_flux_into_sea_water
hfrunoffds2d;sfc_hflux_from_runoff;;Watts/m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;heat flux (relative to 0C) from liquid river runoff;temperature_flux_due_to_runoff_expressed_as_heat_flux_into_sea_water
hfsnthermds2d;fprec_melt_heat;;W/m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;heat flux to melt frozen precip (<0 cools ocean);heat_flux_into_sea_water_due_to_snow_thermodynamics
hfibthermds2d;calving_melt_heat;;W/m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;heat flux needed to melt calving ice (<0 cools ocean);heat_flux_into_sea_water_due_to_iceberg_thermodynamics
rlntds;lw_heat;;W/m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;longwave flux into ocean (<0 cools ocean);surface_net_downward_longwave_flux
hflso;evap_heat;;W/m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;latent heat flux into ocean (<0 cools ocean);surface_downward_latent_heat_flux
hfsso;sens_heat;;W/m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;sensible heat into ocean (<0 cools ocean);surface_downward_sensible_heat_flux
rsntds;swflx;;W/m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;shortwave flux into ocean (>0 heats ocean);surface_net_downward_shortwave_flux
rsdo;sw_heat;;W/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;penetrative shortwave heating;downwelling_shortwave_flux_in_sea_water
tauuo;tau_x;;N/m^2;time yu_ocean xu_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;i-directed wind stress forcing u-velocity;surface_downward_x_stress
tauvo;tau_y;;N/m^2;time yu_ocean xu_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;j-directed wind stress forcing v-velocity;surface_downward_y_stress
difvho;diff_cbt_t;;m^2/s;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CM2_Omon;CM2;float32;21600000;36;ocean_month.nc-;total vert diff_cbt(temp) (w/o neutral included);ocean_vertical_heat_diffusivity
sob;bottom_salt;;psu;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;Practical Salinity;
bigthetao;temp;;deg_C;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;Conservative temperature;
#hfx;temp_xflux_adv;;Watts;time st_ocean yt_ocean xu_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;cp*rho*dzt*dyt*u*temp;
#hfy;temp_yflux_adv;;Watts;time st_ocean yu_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;cp*rho*dzt*dxt*v*temp;
#hfz;temp_zflux_adv;;Watts;time sw_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CM2_Omon;CM2;float32;21600000;36;ocean_month.nc-;cp*rho*dxt*dyt*wt*temp;
ocontemptend;temp_tendency;;Watts/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Emon;CM2;float32;21600000;36;ocean_month.nc-;time tendency for tracer Conservative temperature;
osalttend;salt_tendency;;kg/(sec*m^2);time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Emon;CM2;float32;21600000;36;ocean_month.nc-;time tendency for tracer Practical Salinity;
ocontemppsmadvect;temp_submeso;;Watts/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Emon;CM2;float32;21600000;36;ocean_month.nc-;rho*dzt*cp*submesoscale tendency (heating);
osaltpsmadvect;salt_submeso;;kg/(sec*m^2);time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Emon;CM2;float32;21600000;36;ocean_month.nc-;rho*dzt*submesoscale tendency for salt;
wo;wt;;m/sec;time sw_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;dia-surface velocity T-points;
hfsifrazil;frazil_3d;;W/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;ocn frazil heat flux over time step;
ocontemppadvect;neutral_gm_temp;;Watts/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Emon;CM2;float32;21600000;36;ocean_month.nc-;rho*dzt*cp*GM stirring (heating);
ocontemppmdiff;neutral_diffusion_temp;;Watts/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Emon;CM2;float32;21600000;36;ocean_month.nc-;rho*dzt*cp*explicit neutral diffusion tendency (heating);
ocontempdiff;temp_vdiffuse_diff_cbt;;Watts/m^2;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Emon;CM2;float32;21600000;36;ocean_month.nc-;vert diffusion of heat due to diff_cbt;
osaltpadvect;neutral_gm_salt;;kg/(sec*m^2);time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Emon;CM2;float32;21600000;36;ocean_month.nc-;rho*dzt*GM stirring tendency for salt;
osaltpmdiff;neutral_diffusion_salt;;kg/(sec*m^2);time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Emon;CM2;float32;21600000;36;ocean_month.nc-;rho*dzt*explicit neutral diffusion tendency for salt;
osaltdiff;salt_vdiffuse_diff_cbt;;kg/(sec*m^2);time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Emon;CM2;float32;21600000;36;ocean_month.nc-;vert diffusion due to diff_cbt for Practical Salinity;
